,index,code,time,money,year
2583,6692,002579.SZ,2018/3/28,4986731,2018
2590,5970,002579.SZ,2018/9/11,43012590.62,2018
2592,4920,002582.SZ,2018/12/6,4036469,2018
2604,378,002582.SZ,2019/10/9,116168069.2,2019
2606,4782,002587.SZ,2018/12/20,2444196,2018
2616,377,002587.SZ,2019/10/9,31918883.05,2019
2621,2285,002589.SZ,2019/5/9,9057791.5,2019
2623,1852,002589.SZ,2019/6/5,60399950.8,2019
2629,6791,002591.SZ,2018/2/2,394100,2018
2646,898,002591.SZ,2019/8/22,6955746.96,2019
2648,6407,002592.SZ,2018/7/5,18441399.68,2018
2659,4781,002592.SZ,2018/12/20,193167744.3,2018
2663,3159,002593.SZ,2019/3/16,1113932.08,2019
2671,7071,002597.SZ,2016/1/5,37745217.02,2016
2673,7056,002597.SZ,2016/1/19,1739361.52,2016
2675,6170,002597.SZ,2018/8/16,80600036.04,2018
2676,6118,002597.SZ,2018/9/1,19192147.4,2018
2678,2213,002597.SZ,2019/5/17,3836264,2019
2685,65,002597.SZ,2019/11/2,139408576.4,2019
2687,6161,002599.SZ,2018/8/21,996211,2018
2699,6951,002601.SZ,2017/4/6,149941650.9,2017
2705,6906,002601.SZ,2017/8/24,400866970.3,2017
2707,6009,002601.SZ,2018/9/5,23013271.57,2018
2714,4137,002601.SZ,2019/1/29,750108799.7,2019
2716,5370,002602.SZ,2018/11/12,212746574.9,2018
2729,374,002602.SZ,2019/10/9,1581175974,2019
2732,4847,002603.SZ,2018/12/13,4808185,2018
2744,64,002603.SZ,2019/11/2,150013213.8,2019
2749,1768,002605.SZ,2019/6/14,4998869.44,2019
2754,6695,002609.SZ,2018/3/27,24485279.08,2018
2768,6957,002610.SZ,2017/3/24,31950110.54,2017
2769,6955,002610.SZ,2017/3/25,17681944.66,2017
2782,5725,002611.SZ,2018/10/11,10400300,2018
2794,1275,002611.SZ,2019/7/30,160000000,2019
2799,5752,002614.SZ,2018/10/10,6571759.68,2018
2812,530,002614.SZ,2019/9/17,100029900,2019
2815,3203,002617.SZ,2019/3/9,9996297,2019
2817,2740,002617.SZ,2019/4/4,15098492.86,2019
2819,6166,002619.SZ,2018/8/17,1983970,2018
2831,1450,002619.SZ,2019/7/3,30011327.4,2019
2833,6209,002624.SZ,2018/8/8,19997231.12,2018
2846,1274,002624.SZ,2019/7/30,549634912,2019
2849,507,002624.SZ,2019/9/21,2013357,2019
2854,4380,002626.SZ,2019/1/4,952435.88,2019
2866,62,002626.SZ,2019/11/2,95778465.49,2019
2873,1767,002634.SZ,2019/6/14,1929630.56,2019
2880,5330,002635.SZ,2018/11/17,7999715.79,2018
2883,7061,002653.SZ,2016/1/8,112135800.1,2016
2884,7043,002653.SZ,2016/2/3,87755852.19,2016
2893,4883,002658.SZ,2018/12/8,633420,2018
2904,367,002658.SZ,2019/10/9,80878331.43,2019
2908,6415,002661.SZ,2018/7/4,1057518,2018
2926,2738,002665.SZ,2019/4/4,22834655.56,2019
2932,365,002665.SZ,2019/10/9,18765229.7,2019
2935,1757,002669.SZ,2019/6/15,1855346.8,2019
2941,155,002669.SZ,2019/10/31,38145297,2019
2943,6712,002670.SZ,2018/3/22,52229658.59,2018
2949,6116,002670.SZ,2018/9/1,109048195.2,2018
2964,5074,002681.SZ,2018/12/4,7965462.07,2018
2974,59,002681.SZ,2019/11/2,99991644.89,2019
2976,3118,002687.SZ,2019/3/25,1317114,2019
2980,2181,002687.SZ,2019/5/22,31316636.32,2019
2991,6694,002701.SZ,2018/3/27,36952000,2018
2997,6146,002701.SZ,2018/8/27,87699363.61,2018
2999,5891,002705.SZ,2018/9/28,3240581.36,2018
3005,4246,002705.SZ,2019/1/14,99992678.76,2019
3007,5214,002706.SZ,2018/11/30,359100,2018
3015,2455,002706.SZ,2019/5/7,100085613.9,2019
3017,4283,002712.SZ,2019/1/9,3024600,2019
3033,137,002712.SZ,2019/11/1,247185661.6,2019
3037,3115,002719.SZ,2019/3/26,260600,2019
3040,1848,002719.SZ,2019/6/5,99672566,2019
3048,1984,002733.SZ,2019/6/4,4995255,2019
3053,6880,002734.SZ,2017/10/10,16229444.76,2017
3058,1846,002747.SZ,2019/6/5,4792924,2019
3062,564,002747.SZ,2019/9/7,54845173.07,2019
3064,5750,002751.SZ,2018/10/10,6519390,2018
3074,548,002751.SZ,2019/9/11,14978179,2019
3077,5583,002772.SZ,2018/11/1,4999489,2018
3082,4833,002772.SZ,2018/12/14,94991364.2,2018
3084,2168,002772.SZ,2019/5/24,930656,2019
3091,6114,002775.SZ,2018/9/1,6581496.68,2018
3099,6485,002776.SZ,2018/6/21,25367248.63,2018
3101,952,002776.SZ,2019/8/9,34199169.04,2019
3104,3663,002791.SZ,2019/2/21,937062,2019
3109,2658,002791.SZ,2019/4/30,99028626.29,2019
3111,2236,002798.SZ,2019/5/15,6378170,2019
3112,2167,002798.SZ,2019/5/24,93527230,2019
3114,6666,002802.SZ,2018/4/3,299176.07,2018
3121,5972,002802.SZ,2018/9/10,31618433.43,2018
3123,4845,002802.SZ,2018/12/13,1492161.78,2018
3136,6803,002803.SZ,2018/1/27,20046340.83,2018
3140,6707,002803.SZ,2018/3/23,63161530.27,2018
3143,154,002818.SZ,2019/10/31,1229498.4,2019
3151,5228,002831.SZ,2018/11/29,5178120,2018
3155,3237,002831.SZ,2019/3/6,100000332.4,2019
3160,506,002831.SZ,2019/9/21,2007603.6,2019
3162,4273,002832.SZ,2019/1/10,1364494.4,2019
3168,1766,002832.SZ,2019/6/14,89617380.93,2019
3172,4860,002833.SZ,2018/12/12,3405778,2018
3177,2709,002833.SZ,2019/4/9,40001737.54,2019
3179,4916,002845.SZ,2018/12/6,597400,2018
3190,170,002845.SZ,2019/10/29,9997115,2019
3192,3145,002852.SZ,2019/3/20,4506272.09,2019
3202,4057,002858.SZ,2019/2/1,311910,2019
3211,2,002858.SZ,2019/11/4,6626611,2019
3214,169,002859.SZ,2019/10/29,5107976,2019
3215,135,002859.SZ,2019/11/1,12107213,2019
3217,6148,002861.SZ,2018/8/25,559930,2018
3232,964,002861.SZ,2019/8/7,69699188,2019
3238,4780,002873.SZ,2018/12/20,5720614.1,2018
3244,2100,002873.SZ,2019/6/3,25498647.29,2019
3248,355,002873.SZ,2019/10/9,1050313.26,2019
3249,55,002873.SZ,2019/11/2,2453462.06,2019
3252,2212,002879.SZ,2019/5/17,1990260.85,2019
3260,54,002879.SZ,2019/11/2,109457443.9,2019
3262,5193,002884.SZ,2018/12/1,167365,2018
3266,4165,002884.SZ,2019/1/24,75005232.53,2019
3268,4116,002900.SZ,2019/1/31,5686149.34,2019
3279,352,002900.SZ,2019/10/9,77179592.68,2019
3281,1750,002906.SZ,2019/6/18,1220536,2019
3285,351,002906.SZ,2019/10/9,32214894.38,2019
3287,4844,002909.SZ,2018/12/13,8472672.6,2018
3293,2680,002909.SZ,2019/4/19,30884551.4,2019
3295,1773,002925.SZ,2019/6/13,6609229.58,2019
3300,458,002925.SZ,2019/10/8,94705118.72,2019
3302,4758,300003.SZ,2018/12/21,15959700,2018
3313,134,300003.SZ,2019/11/1,254282100,2019
3315,6499,300005.SZ,2018/6/15,10927834.72,2018
3327,2146,300005.SZ,2019/5/29,31119590.58,2019
3331,4224,300017.SZ,2019/1/17,65005110.61,2019
3345,4960,300019.SZ,2018/12/5,124287,2018
3352,2194,300019.SZ,2019/5/21,21510733.96,2019
3354,6469,300021.SZ,2018/6/28,49980000,2018
3356,4896,300024.SZ,2018/12/7,9864726.3,2018
3358,4114,300024.SZ,2019/1/31,139974473.5,2019
3360,5336,300026.SZ,2018/11/16,5120434,2018
3371,880,300026.SZ,2019/8/27,117128539.5,2019
3373,6349,300031.SZ,2018/7/25,51955897.18,2018
3387,1438,300031.SZ,2019/7/3,152058788,2019
3391,3719,300039.SZ,2019/2/13,4072805,2019
3402,132,300039.SZ,2019/11/1,91272530.81,2019
3404,4821,300041.SZ,2018/12/15,5277508,2018
3409,2952,300041.SZ,2019/4/2,31050694.87,2019
3411,2445,300041.SZ,2019/5/7,5045015,2019
3412,2273,300041.SZ,2019/5/10,44962178.59,2019
3414,1789,300041.SZ,2019/6/11,4791803,2019
3422,53,300041.SZ,2019/11/2,145224080.6,2019
3424,5191,300049.SZ,2018/12/1,3315946.1,2018
3431,2203,300049.SZ,2019/5/18,66987539.59,2019
3433,4669,300053.SZ,2018/12/29,9781392,2018
3443,348,300053.SZ,2019/10/9,30367170.8,2019
3445,6479,300054.SZ,2018/6/22,32374534,2018
3462,2160,300054.SZ,2019/5/25,302976028.4,2019
3465,542,300056.SZ,2019/9/12,881861.48,2019
3467,131,300056.SZ,2019/11/1,26109848.05,2019
3469,1308,300058.SZ,2019/7/22,20430819,2019
3474,130,300058.SZ,2019/11/1,127163533.4,2019
3476,6246,300061.SZ,2018/8/3,1641812.5,2018
3486,3235,300061.SZ,2019/3/6,99984981.56,2019
3488,6699,300065.SZ,2018/3/24,11661101.04,2018
3508,4832,300065.SZ,2018/12/14,77935194.46,2018
3510,5593,300067.SZ,2018/10/31,10539484.2,2018
3523,234,300067.SZ,2019/10/10,50040180.53,2019
3532,4282,300081.SZ,2019/1/9,6249192.2,2019
3541,547,300081.SZ,2019/9/11,14795310.74,2019
3543,3193,300087.SZ,2019/3/12,8181787.43,2019
3553,128,300087.SZ,2019/11/1,110238348.9,2019
3555,6557,300089.SZ,2018/6/1,1007389,2018
3558,6400,300089.SZ,2018/7/6,73080804.18,2018
3563,6477,300095.SZ,2018/6/22,4097741.84,2018
3573,3603,300095.SZ,2019/3/1,41045985.61,2019
3575,5924,300097.SZ,2018/9/20,5983171.2,2018
3591,563,300097.SZ,2019/9/7,155548939.2,2019
3593,6126,300098.SZ,2018/8/31,3750000,2018
3600,6516,300109.SZ,2018/6/6,146451.6,2018
3607,4956,300109.SZ,2018/12/5,100351375.1,2018
3610,5690,300113.SZ,2018/10/15,6469094.68,2018
3624,515,300113.SZ,2019/9/19,250088378.5,2019
3627,1725,300114.SZ,2019/6/20,2880528.73,2019
3632,52,300114.SZ,2019/11/2,32712877.69,2019
3634,5444,300115.SZ,2018/11/3,2686477,2018
3640,2948,300115.SZ,2019/4/2,121177801.7,2019
3642,5902,300118.SZ,2018/9/26,7513385.68,2018
3656,853,300118.SZ,2019/9/2,250114291.1,2019
3658,4187,300119.SZ,2019/1/22,5179171.6,2019
3667,7064,300122.SZ,2016/1/6,99508711.42,2016
3681,5981,300125.SZ,2018/9/7,2212049,2018
3688,3647,300125.SZ,2019/2/25,46089667.97,2019
3691,4831,300130.SZ,2018/12/14,1003765.03,2018
3700,6950,300131.SZ,2017/4/20,64520774.55,2017
3704,6933,300131.SZ,2017/6/9,35461285.4,2017
3706,5698,300137.SZ,2018/10/13,10830773.2,2018
3712,3600,300137.SZ,2019/3/1,45470567.77,2019
3715,4686,300138.SZ,2018/12/28,3208559.38,2018
3726,127,300138.SZ,2019/11/1,10611611.54,2019
3728,5270,300145.SZ,2018/11/26,26675224.3,2018
3741,6776,300147.SZ,2018/2/7,42636198.22,2018
3743,4732,300147.SZ,2018/12/25,29250101.74,2018
3745,6896,300148.SZ,2017/9/5,31678292,2017
3759,6169,300148.SZ,2018/8/16,277497534.9,2018
3766,2174,300151.SZ,2019/5/23,1124700,2019
3773,5969,300159.SZ,2018/9/11,2911500,2018
3778,4258,300159.SZ,2019/1/11,101032030.8,2019
3780,4306,300168.SZ,2019/1/5,3283437.6,2019
3791,126,300168.SZ,2019/11/1,26700827.65,2019
3793,6125,300179.SZ,2018/8/31,1992766,2018
3800,4186,300179.SZ,2019/1/22,20246648.4,2019
3803,1328,300179.SZ,2019/7/17,999541,2019
3806,229,300179.SZ,2019/10/10,14281003.37,2019
3808,3822,300184.SZ,2019/2/11,3022587,2019
3810,3175,300184.SZ,2019/3/14,26964361.27,2019
3812,2180,300184.SZ,2019/5/22,5875455.6,2019
3814,6187,300190.SZ,2018/8/10,19969052.2,2018
3823,4193,300190.SZ,2019/1/21,155405878.1,2019
3825,5922,300193.SZ,2018/9/20,2999359,2018
3841,873,300193.SZ,2019/8/29,255801605.1,2019
3843,6507,300195.SZ,2018/6/12,3041296.82,2018
3859,6737,300196.SZ,2018/3/13,3479976.7,2018
3865,6389,300196.SZ,2018/7/10,96525869.73,2018
3867,6208,300196.SZ,2018/8/8,1336167.18,2018
3879,1295,300196.SZ,2019/7/25,57574675.35,2019
3881,6574,300199.SZ,2018/5/18,20072076,2018
3895,125,300199.SZ,2019/11/1,285299947.8,2019
3897,6698,300201.SZ,2018/3/24,8537056.99,2018
3904,6138,300201.SZ,2018/8/29,76685289.27,2018
3906,5323,300203.SZ,2018/11/19,15082007,2018
3918,153,300203.SZ,2019/10/31,161972758.8,2019
3920,5227,300204.SZ,2018/11/29,1118471.2,2018
3931,452,300204.SZ,2019/10/8,82684773.32,2019
3933,5607,300206.SZ,2018/10/30,993549,2018
3945,510,300206.SZ,2019/9/20,20841141.85,2019
3952,2091,300207.SZ,2019/6/3,6310121,2019
3956,535,300207.SZ,2019/9/16,194692132.7,2019
3958,6588,300209.SZ,2018/5/7,4997876.32,2018
3970,3372,300209.SZ,2019/3/4,93818594.24,2019
3973,6564,300213.SZ,2018/5/30,3581237,2018
3984,3174,300213.SZ,2019/3/14,31522509.02,2019
3988,5575,300214.SZ,2018/11/1,2963489,2018
4000,6742,300219.SZ,2018/3/9,5772302,2018
4003,6619,300219.SZ,2018/5/3,56410909.63,2018
4005,6275,300221.SZ,2018/8/2,7562486,2018
4017,1363,300221.SZ,2019/7/5,20072415.95,2019
4020,4495,300224.SZ,2019/1/3,1457827.21,2019
4030,180,300224.SZ,2019/10/25,110826786.1,2019
4032,4242,300231.SZ,2019/1/15,5200338.9,2019
4047,124,300231.SZ,2019/11/1,165040834.7,2019
4050,1723,300232.SZ,2019/6/20,2075820.6,2019
4055,123,300232.SZ,2019/11/1,37925021.44,2019
4058,6004,300233.SZ,2018/9/5,4842609,2018
4063,4251,300233.SZ,2019/1/12,40001130.63,2019
4066,1433,300233.SZ,2019/7/3,4944049,2019
4071,4235,300234.SZ,2019/1/16,3212224,2019
4086,122,300234.SZ,2019/11/1,85921895.57,2019
4089,4790,300236.SZ,2018/12/19,9318956.62,2018
4094,2664,300236.SZ,2019/4/26,39986206.9,2019
4096,4135,300237.SZ,2019/1/29,19949600,2019
4106,6977,300244.SZ,2016/12/28,29402000,2016
4108,6954,300244.SZ,2017/3/28,156539800,2017
4110,5675,300250.SZ,2018/10/17,1956610,2018
4118,2676,300250.SZ,2019/4/20,41143272.44,2019
4120,6888,300252.SZ,2017/9/23,4371532,2017
4123,6857,300252.SZ,2017/11/6,15709271,2017
4125,3211,300252.SZ,2019/3/8,695000,2019
4129,1661,300252.SZ,2019/7/1,10936500,2019
4131,4871,300259.SZ,2018/12/11,2005440,2018
4142,448,300259.SZ,2019/10/8,17287479.92,2019
4147,3130,300263.SZ,2019/3/22,16804252,2019
4155,6942,300269.SZ,2017/5/22,10111492.98,2017
4159,6892,300269.SZ,2017/9/14,229888030.9,2017
4161,1298,300270.SZ,2019/7/24,465095,2019
4165,51,300270.SZ,2019/11/2,995080,2019
4168,4912,300279.SZ,2018/12/6,993250,2018
4180,121,300279.SZ,2019/11/1,29993739.4,2019
4182,5309,300286.SZ,2018/11/21,5453804,2018
4188,6186,300289.SZ,2018/8/10,831391.53,2018
4199,4820,300294.SZ,2018/12/15,893487.1,2018
4205,2568,300294.SZ,2019/5/6,199963593.7,2019
4208,2655,300295.SZ,2019/4/30,8997332.6,2019
4210,2310,300295.SZ,2019/5/8,2160074.14,2019
4212,4731,300296.SZ,2018/12/25,23237651.96,2018
4222,447,300296.SZ,2019/10/8,172814325.9,2019
4233,949,300297.SZ,2019/8/9,2199192,2019
4237,907,300298.SZ,2019/8/21,11770413.48,2019
4239,338,300298.SZ,2019/10/9,28197992.53,2019
4241,6837,300300.SZ,2017/12/6,9836408,2017
4248,6706,300300.SZ,2018/3/23,152969182.1,2018
4250,5933,300305.SZ,2018/9/18,842490,2018
4264,1285,300305.SZ,2019/7/26,78487300,2019
4267,1327,300308.SZ,2019/7/17,3281000,2019
4271,6963,300311.SZ,2017/3/4,10053174,2017
4273,6958,300311.SZ,2017/3/21,89926399,2017
4275,3165,300315.SZ,2019/3/15,825000,2019
4283,337,300315.SZ,2019/10/9,103738070.9,2019
4285,6809,300324.SZ,2018/1/18,22842141.97,2018
4297,4490,300324.SZ,2019/1/3,207652493.3,2019
4299,3172,300326.SZ,2019/3/14,4175512,2019
4307,120,300326.SZ,2019/11/1,82783948.42,2019
4309,940,300335.SZ,2019/8/12,1434429,2019
4311,445,300335.SZ,2019/10/8,3592744,2019
4313,5211,300339.SZ,2018/11/30,9041911,2018
4322,5909,300342.SZ,2018/9/22,3857532.95,2018
4326,4830,300342.SZ,2018/12/14,75734548.91,2018
4328,5500,300346.SZ,2018/11/2,1666679.54,2018
4337,4894,300347.SZ,2018/12/7,50687795.13,2018
4342,3138,300347.SZ,2019/3/21,310005110,2019
4344,4025,300360.SZ,2019/2/1,708459,2019
4355,335,300360.SZ,2019/10/9,119505599.7,2019
4357,6274,300363.SZ,2018/8/2,3369255,2018
4381,4234,300363.SZ,2019/1/16,76204794.46,2019
4383,4024,300366.SZ,2019/2/1,6433000,2019
4386,3122,300366.SZ,2019/3/23,44130600,2019
4388,6780,300371.SZ,2018/2/5,10165129.5,2018
4391,6725,300371.SZ,2018/3/16,39607958.79,2018
4393,152,300371.SZ,2019/10/31,2804429.58,2019
4396,4164,300373.SZ,2019/1/24,4999519,2019
4404,841,300373.SZ,2019/9/2,49922032.7,2019
4406,6642,300375.SZ,2018/4/17,13502000,2018
4408,6580,300375.SZ,2018/5/16,36516438,2018
4410,2232,300378.SZ,2019/5/15,4877604,2019
4416,50,300378.SZ,2019/11/2,25128375.36,2019
4418,5885,300379.SZ,2018/9/29,40464342.31,2018
4424,6962,300382.SZ,2017/3/10,3067200,2017
4426,6956,300382.SZ,2017/3/24,71930819.8,2017
4429,5708,300382.SZ,2018/10/12,1088328,2018
4436,3171,300382.SZ,2019/3/14,40008549,2019
4439,6705,300384.SZ,2018/3/23,3998889,2018
4446,6090,300384.SZ,2018/9/3,27109111,2018
4448,6334,300393.SZ,2018/7/27,36430797.49,2018
4462,1315,300393.SZ,2019/7/19,100009772.9,2019
4464,5572,300396.SZ,2018/11/1,1960597,2018
4475,333,300396.SZ,2019/10/9,25094447.4,2019
4477,4128,300400.SZ,2019/1/30,6484789,2019
4488,444,300400.SZ,2019/10/8,90271516.6,2019
4490,879,300401.SZ,2019/8/27,3718113,2019
4494,6763,300406.SZ,2018/3/1,9950797.94,2018
4499,5988,300415.SZ,2018/9/6,1855099.73,2018
4512,937,300415.SZ,2019/8/13,33713310.21,2019
4514,4668,300416.SZ,2018/12/29,2761759,2018
4527,1,300416.SZ,2019/11/4,64440121.12,2019
4529,3192,300417.SZ,2019/3/12,1809267,2019
4539,5912,300418.SZ,2018/9/21,10891088.9,2018
4554,552,300418.SZ,2019/9/10,300268373.3,2019
4556,5949,300421.SZ,2018/9/14,637948.86,2018
4566,2653,300421.SZ,2019/4/30,40999185.67,2019
4568,6926,300438.SZ,2017/7/3,8820454.79,2017
4575,6798,300438.SZ,2018/2/1,49953422.24,2018
4579,3222,300438.SZ,2019/3/7,717311,2019
4587,443,300438.SZ,2019/10/8,26904339.95,2019
4589,5276,300440.SZ,2018/11/24,3054461,2018
4597,2248,300440.SZ,2019/5/14,40014284,2019
4599,1765,300447.SZ,2019/6/14,6152081.1,2019
4602,1333,300447.SZ,2019/7/16,53852666.7,2019
4604,4717,300448.SZ,2018/12/26,7997943.38,2018
4614,6932,300451.SZ,2017/6/13,98006926.54,2017
4615,6931,300451.SZ,2017/6/21,21393192.23,2017
4617,2247,300452.SZ,2019/5/14,418950,2019
4622,442,300452.SZ,2019/10/8,19635152.34,2019
4624,5269,300459.SZ,2018/11/26,4848729,2018
4637,6786,300463.SZ,2018/2/2,67579,2018
4641,6744,300463.SZ,2018/3/8,130717395.5,2018
4643,4949,300469.SZ,2018/12/5,6462926.4,2018
4654,119,300469.SZ,2019/11/1,14997799.42,2019
4656,2425,300482.SZ,2019/5/7,8485361.4,2019
4659,1319,300482.SZ,2019/7/18,21700579.24,2019
4662,6132,300484.SZ,2018/8/30,967487,2018
4668,4250,300484.SZ,2019/1/12,10064703.39,2019
4672,5959,300492.SZ,2018/9/12,403872,2018
4674,5410,300492.SZ,2018/11/5,9619229,2018
4676,4754,300492.SZ,2018/12/21,431174,2018
4680,2927,300492.SZ,2019/4/2,1671023,2019
4682,4730,300497.SZ,2018/12/25,3100690,2018
4696,118,300497.SZ,2019/11/1,100002352.1,2019
4699,2306,300522.SZ,2019/5/8,8960779.2,2019
4702,2155,300522.SZ,2019/5/27,41038683.62,2019
4704,3572,300527.SZ,2019/3/1,1987290,2019
4708,1803,300527.SZ,2019/6/6,51017817.65,2019
4712,5633,300582.SZ,2018/10/29,9550,2018
4720,3096,300582.SZ,2019/3/29,56127179.8,2019
4722,4240,300608.SZ,2019/1/15,1821313.32,2019
4726,2679,300608.SZ,2019/4/19,2176311.64,2019
4728,4695,300609.SZ,2018/12/27,1647930.36,2018
4735,2132,300609.SZ,2019/5/31,32098779.44,2019
4739,3157,300611.SZ,2019/3/16,1960152,2019
4746,224,300611.SZ,2019/10/10,3510668,2019
4748,5409,300612.SZ,2018/11/5,7960370.75,2018
4752,4111,300612.SZ,2019/1/31,48875219.48,2019
4755,4478,300617.SZ,2019/1/3,2813097,2019
4767,117,300617.SZ,2019/11/1,47685077.11,2019
4769,4011,300625.SZ,2019/2/1,3445700,2019
4775,1748,300625.SZ,2019/6/18,51487287.52,2019
4777,6271,300639.SZ,2018/8/2,9777744.07,2018
4784,4684,300639.SZ,2018/12/28,70079549.01,2018
4786,6160,300641.SZ,2018/8/21,1027363.5,2018
4788,5742,300641.SZ,2018/10/10,18984401.29,2018
4790,1353,300650.SZ,2019/7/10,2533559.5,2019
4794,439,300650.SZ,2019/10/8,17652413.77,2019
4797,3893,300665.SZ,2019/2/2,2929000,2019
4805,868,300665.SZ,2019/8/30,17076900,2019
4811,1943,300689.SZ,2019/6/4,507125,2019
4813,1537,300689.SZ,2019/7/2,2997294,2019
4817,174,300689.SZ,2019/10/28,4412836,2019
4819,5226,300690.SZ,2018/11/29,5135315.9,2018
4822,4714,300690.SZ,2018/12/26,31570745.23,2018
4824,4177,300707.SZ,2019/1/23,501300,2019
4828,2668,300707.SZ,2019/4/25,10967316,2019
4830,2422,300721.SZ,2019/5/7,9246823,2019
4831,2282,300721.SZ,2019/5/9,5866969.17,2019
4833,2165,300723.SZ,2019/5/24,1011984,2019
4839,115,300723.SZ,2019/11/1,48974108.58,2019
4843,2421,300736.SZ,2019/5/7,1380000,2019
4849,514,300736.SZ,2019/9/19,13631252,2019
4851,6185,300737.SZ,2018/8/10,96736000,2018
4855,114,300737.SZ,2019/11/1,47492559.24,2019
4858,1831,300740.SZ,2019/6/5,8778087.05,2019
4866,905,300740.SZ,2019/8/21,200215897,2019
4869,1830,600031.SH,2019/6/5,215080408.7,2019
4872,888,600031.SH,2019/8/24,603904972,2019
4879,955,600052.SH,2019/8/8,2915812.75,2019
4881,328,600052.SH,2019/10/9,595073.34,2019
4886,3662,600055.SH,2019/2/21,790300,2019
4895,49,600055.SH,2019/11/2,42413900,2019
4898,2698,600067.SH,2019/4/11,1710667,2019
